"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aoc3",5.59587032531254e-54,0.706817149985752,0.354,0.005,7.96236388588722e-50,7,"Aoc3"
"Hspg2",6.09683572409893e-54,2.71965192456607,0.979,0.16,8.67518755182036e-50,7,"Hspg2"
"Vwa1",6.8804105301278e-54,0.645218092071775,0.5,0.019,9.79013614331885e-50,7,"Vwa1"
"Kctd17",8.07616638931587e-54,1.00873562997933,0.667,0.049,1.14915771553575e-49,7,"Kctd17"
"Meg3",1.01831180906547e-53,1.9319234504669,0.646,0.043,1.44895587311926e-49,7,"Meg3"
"Klhl13",1.05262200767252e-53,0.75547548303308,0.417,0.011,1.49777585471723e-49,7,"Klhl13"
"Fbln5",2.79323901907035e-53,1.09022002324747,0.458,0.016,3.9744998002352e-49,7,"Fbln5"
"Igf1",8.00612725520978e-53,3.0624649992426,0.875,0.115,1.1391918471438e-48,7,"Igf1"
"Rassf2",1.33266173027938e-52,0.661440356378372,0.5,0.02,1.89624437601454e-48,7,"Rassf2"
"Mmp23",1.74860168429429e-52,1.36554583498137,0.792,0.081,2.48808533658234e-48,7,"Mmp23"
"Col4a1.3",1.76080872624188e-52,3.67098711558597,0.958,0.174,2.50545473656957e-48,7,"Col4a1"
"Nova1",2.56419490531286e-52,0.599706501603069,0.312,0.002,3.64859293076967e-48,7,"Nova1"
"Ttc28",3.80781097041306e-52,0.9039997522111,0.604,0.038,5.41813422980075e-48,7,"Ttc28"
"Serpine2",4.29726816826718e-52,2.38678139797641,0.667,0.054,6.11458287662737e-48,7,"Serpine2"
"Ebf3",5.88140820501921e-52,0.415037499278844,0.271,0,8.36865573492183e-48,7,"Ebf3"
"Arsi",7.2746302550165e-52,0.561345534816755,0.292,0.001,1.0351071389863e-47,7,"Arsi"
"Gpx8",7.57060027019512e-52,1.54396741213078,0.792,0.085,1.07722071244606e-47,7,"Gpx8"
"Dnm1",2.42913788529295e-51,0.69622796877646,0.479,0.019,3.45642029698334e-47,7,"Dnm1"
"6030408B16Rik",5.01761238559387e-51,0.834077808601085,0.354,0.006,7.13956066346152e-47,7,"6030408B16Rik"
"Fkbp10",5.13191408678942e-51,0.719179614724357,0.5,0.023,7.30220055409267e-47,7,"Fkbp10"
"Plau",2.4840716038888e-50,0.805556196472089,0.562,0.032,3.53458548517338e-46,7,"Plau"
"Tnfsf13b",4.48697367567037e-50,0.425404214837103,0.333,0.005,6.38451484311136e-46,7,"Tnfsf13b"
"Abca9",4.83945702265347e-50,0.511560858586818,0.333,0.005,6.88606339753363e-46,7,"Abca9"
"Pde1a",5.60790684637353e-50,0.467419270316018,0.333,0.005,7.9794906517049e-46,7,"Pde1a"
"Sept4",1.05049334159978e-49,0.776694369355809,0.438,0.016,1.49474697576233e-45,7,"Sept4"
"Prrx2",1.60380714873746e-49,0.691532421534808,0.417,0.013,2.28205719193853e-45,7,"Prrx2"
"Pla2r1",2.86881978951708e-49,0.475971133180824,0.312,0.004,4.08204367850385e-45,7,"Pla2r1"
"Lamb1.1",4.5468238143062e-49,2.16146784270892,0.792,0.099,6.46967560537629e-45,7,"Lamb1"
"Ifi27l2a",1.61758449311713e-48,3.09640984439829,0.833,0.11,2.30166097525636e-44,7,"Ifi27l2a"
"Acvrl1",2.55807188671752e-48,1.11266854423046,0.604,0.045,3.63988048761036e-44,7,"Acvrl1"
"Clip3",4.66014035802836e-48,0.479406122996145,0.271,0.001,6.63091371543855e-44,7,"Clip3"
"Adamtsl3",4.74931130459438e-48,0.622770298167322,0.271,0.001,6.75779505530734e-44,7,"Adamtsl3"
"Hoxa5",4.80357572821081e-48,0.34577483684173,0.25,0,6.83500790367116e-44,7,"Hoxa5"
"Epha3",4.82156293492625e-48,0.564784618783526,0.25,0,6.86060190010656e-44,7,"Epha3"
"Ntrk1",4.83817926653148e-48,0.479406122996145,0.271,0.001,6.88424527834765e-44,7,"Ntrk1"
"Tmem204",4.83817926653148e-48,0.479406122996145,0.271,0.001,6.88424527834765e-44,7,"Tmem204"
"Esr1",5.01784962881424e-48,0.367513242925248,0.271,0.001,7.13989823683979e-44,7,"Esr1"
"Gng11",5.11140524143353e-48,1.27509641540721,0.708,0.066,7.27301851803577e-44,7,"Gng11"
"Pdpn",4.32340835102768e-47,1.87310928051526,0.771,0.094,6.15177774267729e-43,7,"Pdpn"
"Flnc",1.22773523656145e-46,0.508150230424166,0.354,0.008,1.74694446810329e-42,7,"Flnc"
"Ntrk2",1.31618540815215e-46,1.07717008624251,0.312,0.005,1.87280021725969e-42,7,"Ntrk2"
"Numbl",1.9034222562363e-46,0.602281976921182,0.417,0.016,2.70837952839863e-42,7,"Numbl"
"Grb10",2.51801176886669e-46,1.27532483165342,0.708,0.073,3.58287894592041e-42,7,"Grb10"
"Rgl1",6.9802491374298e-46,0.606469773884616,0.417,0.016,9.93219649764887e-42,7,"Rgl1"
"Tgfbr2",1.02528774994353e-45,2.2632226615167,0.896,0.163,1.45888193939465e-41,7,"Tgfbr2"
"Hoxb2",1.74691937994933e-45,0.454276062081505,0.292,0.004,2.4856915857299e-41,7,"Hoxb2"
"Vstm4",1.83797270858247e-45,0.475971133180824,0.292,0.004,2.615251367042e-41,7,"Vstm4"
"Cadm3",3.0630187133778e-45,0.81909336599433,0.333,0.007,4.35836932726527e-41,7,"Cadm3"
"Olfml1",3.42012802072937e-45,0.445724199216699,0.333,0.007,4.86650016069582e-41,7,"Olfml1"
