"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fkbp14",3.08306850037455e-28,0.515346340149902,0.312,0.018,4.38689816918294e-24,7,"Fkbp14"
"Copz2",5.48196721027052e-28,1.06743937599946,0.688,0.129,7.80029114349392e-24,7,"Copz2"
"Iigp1",5.64316837030102e-28,0.767050544338971,0.312,0.018,8.02966427410132e-24,7,"Iigp1"
"Ptgfrn.3",7.67504049380147e-28,1.30761095719007,0.812,0.208,1.09208151186301e-23,7,"Ptgfrn"
"AW112010",7.78623841323183e-28,1.21465319993605,0.667,0.117,1.10790386381876e-23,7,"AW112010"
"Dapk1",8.37548159732228e-28,1.18863905971409,0.771,0.173,1.19174727648299e-23,7,"Dapk1"
"Tnfsf12.1",9.25428734212493e-28,0.844887619147139,0.688,0.118,1.31679254591096e-23,7,"Tnfsf12"
"Sntb2",1.1040277172358e-27,1.08470523818471,0.729,0.149,1.57092103885482e-23,7,"Sntb2"
"Ptx3",1.12727549040686e-27,0.962544408350923,0.271,0.012,1.60400029529992e-23,7,"Ptx3"
"Cdkn1c",1.43340851204894e-27,1.88880473567735,0.542,0.07,2.03959697179444e-23,7,"Cdkn1c"
"Gbp2",1.65427898533261e-27,0.770748974155633,0.417,0.038,2.35387356822978e-23,7,"Gbp2"
"Atp8b2",2.61404096335964e-27,0.537679000218695,0.5,0.057,3.71951888676443e-23,7,"Atp8b2"
"Calu.3",3.09975805284573e-27,1.64111670739326,0.896,0.294,4.4106457333942e-23,7,"Calu"
"Gulp1",3.62676665417405e-27,0.464530546126924,0.375,0.03,5.16052627222425e-23,7,"Gulp1"
"Zfp385a",4.48404271161484e-27,0.687616806327462,0.438,0.045,6.38034437435676e-23,7,"Zfp385a"
"Oat.5",4.96316742199681e-27,1.35483676545145,0.875,0.248,7.06209092475926e-23,7,"Oat"
"Clu.5",5.11734640706626e-27,-4.71337225659762,0.542,0.982,7.28147220261458e-23,7,"Clu"
"Krt18.4",9.31822436614805e-27,-3.61873766305889,0.271,0.956,1.32589014505921e-22,7,"Krt18"
"Cald1.6",9.94143907779337e-27,1.5418878466968,0.958,0.272,1.41456736637922e-22,7,"Cald1"
"Timp1",1.00633905721588e-26,2.37448211773549,0.771,0.175,1.43191984451248e-22,7,"Timp1"
"Tubb6.1",1.59976372040114e-26,0.675811012343148,0.521,0.067,2.27630379775878e-22,7,"Tubb6"
"Abca8b",1.89600848001856e-26,0.481175186132772,0.333,0.023,2.6978304662184e-22,7,"Abca8b"
"Man2a1.1",2.01701652037189e-26,1.38117024367673,0.812,0.226,2.87001280683717e-22,7,"Man2a1"
"Hexa",2.89397996838165e-26,0.950585487232843,0.792,0.177,4.11784409701025e-22,7,"Hexa"
"Arhgap10",3.21787879864196e-26,0.466184064979438,0.396,0.036,4.57871974258765e-22,7,"Arhgap10"
"Ahnak2",3.42783865706863e-26,0.797854085303632,0.646,0.111,4.87747162514296e-22,7,"Ahnak2"
"Lgals1.3",3.83301101968469e-26,2.7920834750034,0.979,0.574,5.45399137990935e-22,7,"Lgals1"
"Krt8.4",6.11548955913785e-26,-3.53385471106485,0.25,0.944,8.70173009369724e-22,7,"Krt8"
"Fzd2",6.12530810893301e-26,0.816654949921511,0.5,0.064,8.71570090820078e-22,7,"Fzd2"
"Smtn",6.20679036240254e-26,0.472817157311885,0.375,0.032,8.83164200666258e-22,7,"Smtn"
"Celf2.4",8.98011129787299e-26,1.33073607123187,0.833,0.236,1.27778003657435e-21,7,"Celf2"
"Epcam.5",9.29279046155579e-26,-3.40186303961507,0.229,0.936,1.32227115477477e-21,7,"Epcam"
"Cavin3.2",1.11595710636319e-25,1.60670606821663,0.833,0.252,1.58789536664418e-21,7,"Cavin3"
"Spint2.3",1.20147929469831e-25,-2.4142841056039,0.146,0.944,1.70958488842623e-21,7,"Spint2"
"Cmtm3",1.2887032311816e-25,0.988947731923354,0.604,0.105,1.83369582764829e-21,7,"Cmtm3"
"Dpy19l1",1.52768453294116e-25,0.591730573752792,0.458,0.053,2.17374232192197e-21,7,"Dpy19l1"
"Lhfpl2",1.52980197801219e-25,0.547484167081286,0.354,0.029,2.17675523451354e-21,7,"Lhfpl2"
"Fkbp9",1.93303055086188e-25,1.266442263151,0.729,0.169,2.75050917082137e-21,7,"Fkbp9"
"Nrp1",2.05432943929306e-25,1.0554546050868,0.604,0.1,2.9231053591701e-21,7,"Nrp1"
"Emp1.6",2.4413261923749e-25,1.92361090448178,0.833,0.236,3.47376303913025e-21,7,"Emp1"
"Sfrp2",2.57697371410767e-25,2.29558860881051,0.312,0.021,3.6667758978038e-21,7,"Sfrp2"
"Gstm2.4",3.15566032557277e-25,1.29295391881345,0.771,0.208,4.49018907725749e-21,7,"Gstm2"
"Sept11.1",4.32762322816555e-25,1.28837473832716,0.75,0.185,6.15777509135676e-21,7,"Sept11"
"Pkdcc",4.53730277174428e-25,0.846807932284055,0.646,0.119,6.45612811391494e-21,7,"Pkdcc"
"Id3",5.59385697138862e-25,1.28333531130351,0.521,0.075,7.95949908458887e-21,7,"Id3"
"Zhx3",6.23206381043746e-25,0.405366461600558,0.375,0.033,8.86760359587147e-21,7,"Zhx3"
"Atf5",7.15610115055089e-25,1.13752573802583,0.625,0.118,1.01824163271189e-20,7,"Atf5"
"Stard9",7.19551553219939e-25,0.325262239516017,0.25,0.012,1.02384990507665e-20,7,"Stard9"
"Cldn7.5",7.42732544889885e-25,-2.41790397159258,0.083,0.903,1.05683413812382e-20,7,"Cldn7"
"Eva1b",1.0474592398504e-24,1.00453763675606,0.688,0.144,1.49042975238314e-20,7,"Eva1b"
"Cd24a.3",1.71206288450038e-24,-1.9714617174187,0.062,0.913,2.43609427835559e-20,7,"Cd24a"
"Selenom.4",1.90699236291959e-24,1.6889382800424,0.958,0.479,2.71345943319828e-20,7,"Selenom"
"Rab7b",2.85331966779026e-24,0.40843113623339,0.292,0.019,4.05998855529876e-20,7,"Rab7b"
"Ifitm3.4",3.21530583831183e-24,2.25729964901916,1,0.702,4.5750586773339e-20,7,"Ifitm3"
"Fxyd3.6",3.67859733296409e-24,-2.9013918998166,0.229,0.919,5.23427614507461e-20,7,"Fxyd3"
"Txndc5.3",4.30373929815389e-24,1.37549178519708,0.854,0.291,6.12379064734317e-20,7,"Txndc5"
"Psap.3",5.48328063735529e-24,1.46149180864747,0.979,0.741,7.80216001889284e-20,7,"Psap"
"Ackr3",6.53558155442561e-24,1.60755247190233,0.375,0.038,9.29947899379219e-20,7,"Ackr3"
"Dsel",6.7767395001978e-24,0.589791032737986,0.375,0.037,9.64262263483145e-20,7,"Dsel"
"Snx18",1.03263150930769e-23,0.765235369926773,0.604,0.11,1.46933137459391e-19,7,"Snx18"
"Fam111a",1.34959603530259e-23,0.555577943463741,0.354,0.032,1.92034019863206e-19,7,"Fam111a"
"Spry4",1.35657673762293e-23,0.403377908507104,0.312,0.024,1.93027303996367e-19,7,"Spry4"
"Atp1b2",1.58950235063078e-23,0.398342318609806,0.25,0.013,2.26170289471254e-19,7,"Atp1b2"
"Tcf4.1",1.80396778880129e-23,1.72558747740587,0.812,0.274,2.56686576668535e-19,7,"Tcf4"
"Ckap4.4",1.86098429804728e-23,1.24968349594585,0.812,0.248,2.64799455769147e-19,7,"Ckap4"
"Slc7a8",2.65021065309279e-23,0.430381890991489,0.312,0.024,3.77098473828573e-19,7,"Slc7a8"
"Jcad",2.98669097142482e-23,0.358290018978566,0.292,0.02,4.24976258324037e-19,7,"Jcad"
"Slc1a5",3.17526658896905e-23,0.823585818230967,0.583,0.104,4.51808682944405e-19,7,"Slc1a5"
"Rgs10",5.1787619313955e-23,0.41240687430823,0.354,0.032,7.36886035218266e-19,7,"Rgs10"
"Cystm1.3",5.77770245268532e-23,-2.00560692064948,0.167,0.893,8.22109281992594e-19,7,"Cystm1"
"Kirrel",8.52175531430617e-23,0.776919105712816,0.521,0.084,1.21256056367263e-18,7,"Kirrel"
"Wfdc1",8.77346542246053e-23,0.782018119936942,0.292,0.021,1.24837639496191e-18,7,"Wfdc1"
"Ahnak.3",9.0192913488199e-23,1.81996080466615,0.979,0.662,1.28335496602358e-18,7,"Ahnak"
"Lgi4",1.00348753384531e-22,0.346870812290414,0.292,0.02,1.42786241190849e-18,7,"Lgi4"
"Cdon",1.21721961867871e-22,0.800713406052489,0.458,0.063,1.73198179541794e-18,7,"Cdon"
"Itgb5.2",1.24434589579884e-22,1.20278851793867,0.771,0.204,1.77057977513216e-18,7,"Itgb5"
"Impact",1.36240292116075e-22,0.492301251811978,0.5,0.072,1.93856311651964e-18,7,"Impact"
"Flrt2.1",1.51492831472648e-22,0.98113892152516,0.562,0.1,2.15559149902431e-18,7,"Flrt2"
"Parp3",1.71501180150901e-22,0.738218205524157,0.521,0.084,2.44029029236717e-18,7,"Parp3"
"Ildr2",2.08145935698852e-22,1.03375953398748,0.479,0.07,2.96170851905896e-18,7,"Ildr2"
"Tm4sf4.4",3.61687284252771e-22,-2.95858484818251,0.083,0.858,5.14644836763268e-18,7,"Tm4sf4"
"Cebpd.5",3.65128611101352e-22,1.63559001626619,0.958,0.469,5.19541500736114e-18,7,"Cebpd"
"Ltbp1.1",3.87931969144594e-22,1.18724447764234,0.583,0.11,5.51988398895843e-18,7,"Ltbp1"
"Nxn",3.94217799474871e-22,0.571664414553663,0.396,0.045,5.60932506872794e-18,7,"Nxn"
"Gfra2",4.07577971287779e-22,0.285091801040483,0.25,0.014,5.79942695345381e-18,7,"Gfra2"
"Nod1",5.01176414538132e-22,0.500803992881704,0.375,0.041,7.13123920246309e-18,7,"Nod1"
"Wfdc2.3",5.0257245094404e-22,-2.82411538452221,0.125,0.858,7.15110340448275e-18,7,"Wfdc2"
"Osmr.1",5.48308095279715e-22,0.95868536582726,0.688,0.159,7.80187588773507e-18,7,"Osmr"
"Tgfb1i1",5.88066400704037e-22,0.594968947819337,0.396,0.045,8.36759681561774e-18,7,"Tgfb1i1"
"P4ha2",6.91602771940925e-22,0.883295315398618,0.542,0.093,9.84081584194742e-18,7,"P4ha2"
"Rasl11a",6.98901160803036e-22,1.1129048772707,0.354,0.037,9.9446646170664e-18,7,"Rasl11a"
"Igfbp7.5",9.43104057068487e-22,2.26877539187075,1,0.698,1.34194276280275e-17,7,"Igfbp7"
"Adh1",1.01134255358941e-21,0.991988186243405,0.5,0.079,1.43903931950237e-17,7,"Adh1"
"Krt19.6",1.1035007081129e-21,-2.91277027231786,0.208,0.888,1.57017115757385e-17,7,"Krt19"
"Lmo2",1.15342356103123e-21,0.447099285936422,0.271,0.019,1.64120638499134e-17,7,"Lmo2"
"Ikbip",1.35173937090859e-21,0.760079929240752,0.625,0.129,1.92338995086583e-17,7,"Ikbip"
"Scpep1",1.36810796689626e-21,0.965795610977123,0.667,0.153,1.94668082609669e-17,7,"Scpep1"
"Pcsk6",1.74551805944775e-21,1.19826347860249,0.479,0.079,2.4836976467882e-17,7,"Pcsk6"
"Slc29a1",1.79047918921515e-21,0.863090453061147,0.688,0.16,2.54767283833423e-17,7,"Slc29a1"
"Smim22.5",2.00772249481939e-21,-1.47097872295302,0.083,0.846,2.85678833787851e-17,7,"Smim22"
"Muc1.2",2.13444942271237e-21,-1.75583987762431,0.062,0.826,3.03710808357744e-17,7,"Muc1"
"C3.6",2.41628068042538e-21,3.06837936245743,0.917,0.587,3.43812578017727e-17,7,"C3"
"Tmem263",2.70047695603685e-21,0.633604624615458,0.542,0.094,3.84250866074483e-17,7,"Tmem263"
"Ifitm2.3",2.85570925780464e-21,1.70509278250496,1,0.895,4.06338870293022e-17,7,"Ifitm2"
"Tspan4",3.04670262562525e-21,0.796929407774726,0.708,0.165,4.33515316600217e-17,7,"Tspan4"
"Arsb",3.43100482827634e-21,0.678957567660012,0.5,0.082,4.8819767701544e-17,7,"Arsb"
"Atp1b1.4",3.5698709190005e-21,-2.23260239652082,0.167,0.862,5.07956933064581e-17,7,"Atp1b1"
"Dennd5a",3.88611350200828e-21,0.756610123312476,0.521,0.088,5.52955090200759e-17,7,"Dennd5a"
"Alcam.3",4.13351052822177e-21,-1.59177631146858,0.083,0.859,5.88157213060676e-17,7,"Alcam"
"Spp1.5",4.32811909992843e-21,-3.63427842497282,0.354,0.914,6.15848066728816e-17,7,"Spp1"
"Mmp14.5",4.5101896456252e-21,1.49163791323719,0.792,0.261,6.4175488467601e-17,7,"Mmp14"
"2200002D01Rik.5",6.81171704676633e-21,-2.10732350245594,0.062,0.831,9.69239218584381e-17,7,"2200002D01Rik"
"Hp",7.19024809547573e-21,1.53365710548913,0.354,0.037,1.02310040150524e-16,7,"Hp"
"Ctsl.3",7.52209492605205e-21,1.57644679224076,1,0.895,1.07031888702795e-16,7,"Ctsl"
"Il3ra",9.56390600958828e-21,0.736516552805246,0.604,0.124,1.36084818610432e-16,7,"Il3ra"
"Gem",1.09191469026054e-20,0.430457442563389,0.25,0.017,1.55368541277173e-16,7,"Gem"
"Ksr1",1.09572822796389e-20,0.487688493091446,0.396,0.049,1.55911169556982e-16,7,"Ksr1"
"Tspan8.4",1.13888532454908e-20,-2.51222990420252,0.042,0.805,1.62051992830088e-16,7,"Tspan8"
"Lamb2.1",1.31744761919165e-20,0.894813954478619,0.708,0.178,1.8745962173478e-16,7,"Lamb2"
"Xdh",1.35407048305543e-20,0.887980102879308,0.625,0.141,1.92670689033957e-16,7,"Xdh"
"Krt7.5",1.37336770023447e-20,-2.28217757254801,0.062,0.835,1.95416490066363e-16,7,"Krt7"
"Marcks.1",1.92134845093866e-20,2.09869418480896,0.938,0.763,2.73388671084062e-16,7,"Marcks"
"S1pr2",2.52726300173579e-20,0.534308778333553,0.375,0.045,3.59604252516986e-16,7,"S1pr2"
"Trim30a",2.62914844619763e-20,0.333286012848672,0.25,0.017,3.7410153240946e-16,7,"Trim30a"
"Ryk.3",4.00207519881105e-20,1.01451358544673,0.833,0.279,5.69455280038824e-16,7,"Ryk"
"B4galt5",6.79881143592815e-20,0.649134322909062,0.458,0.07,9.67402879218216e-16,7,"B4galt5"
"Csgalnact2",6.85742139704083e-20,0.544048711335722,0.479,0.076,9.75742490584939e-16,7,"Csgalnact2"
"Ctsb.1",7.21815046349325e-20,1.08741190744153,0.979,0.837,1.02707062945046e-15,7,"Ctsb"
"B2m.5",7.39161484234063e-20,1.62149989246532,1,0.82,1.05175287591665e-15,7,"B2m"
"Spred1",8.47702414110338e-20,0.919939634430317,0.667,0.165,1.2061957650376e-15,7,"Spred1"
"Gm12840",8.92603557842185e-20,0.76031681108697,0.354,0.041,1.27008560245365e-15,7,"Gm12840"
"Cdh1.4",9.3139480521537e-20,-1.52939987309372,0.083,0.814,1.32528166834095e-15,7,"Cdh1"
"Zfp503",1.03500559860099e-19,0.990467158120555,0.521,0.098,1.47270946624935e-15,7,"Zfp503"
"Sept8",1.06274227159897e-19,0.824889967184574,0.583,0.126,1.51217597825818e-15,7,"Sept8"
"Anxa4.4",1.07143257572368e-19,-1.60166402836107,0.292,0.887,1.52454141199723e-15,7,"Anxa4"
"Laptm4a.2",1.18892778981433e-19,1.240648408469,1,0.893,1.69172535212681e-15,7,"Laptm4a"
"Hexb",1.30078585284317e-19,0.554470497004994,0.542,0.098,1.85088819001055e-15,7,"Hexb"
"Fam13c",1.46129425123136e-19,0.4534185910067,0.292,0.026,2.0792755900771e-15,7,"Fam13c"
"Sptbn1.4",1.47297321234438e-19,1.14610902634344,0.979,0.655,2.09589358384482e-15,7,"Sptbn1"
"Marveld1",1.69479096644499e-19,0.58727433774149,0.5,0.086,2.41151806615458e-15,7,"Marveld1"
"Sorcs2",1.85728923117834e-19,0.445122449451608,0.312,0.031,2.64273684704366e-15,7,"Sorcs2"
"Crybg3",1.96273269203583e-19,0.641348577942467,0.5,0.086,2.79277234749778e-15,7,"Crybg3"
"Nenf.3",2.21189884160995e-19,1.29116729933944,0.979,0.717,3.1473108617268e-15,7,"Nenf"
"Add3",2.23475823737206e-19,1.0369905421832,0.646,0.162,3.1798374959567e-15,7,"Add3"
"Prom1.3",2.53596071541827e-19,-1.70412268597978,0.062,0.795,3.60841850196866e-15,7,"Prom1"
"Tiam1",2.7127484846045e-19,0.53923545941348,0.333,0.037,3.85996981874375e-15,7,"Tiam1"
"Rab3il1",3.07208422380489e-19,0.437045621272499,0.271,0.023,4.37126864205198e-15,7,"Rab3il1"
"Sec24d",3.41559249297148e-19,0.667974518111181,0.479,0.081,4.86004655824912e-15,7,"Sec24d"
"Itm2b.2",4.77688778027143e-19,1.27290002404481,1,0.955,6.79703362254822e-15,7,"Itm2b"
"Hsp90b1.3",4.83662784037127e-19,1.43123884053563,1,0.911,6.88203775406428e-15,7,"Hsp90b1"
"Mpdz",5.52575535202978e-19,0.460711083573056,0.375,0.048,7.86259729040317e-15,7,"Mpdz"
"Mdk",5.551093662802e-19,1.01036671555826,0.479,0.084,7.89865117280097e-15,7,"Mdk"
"Rgma",5.61258877100875e-19,0.5567878231664,0.417,0.061,7.98615256226835e-15,7,"Rgma"
"Ptn",5.66041995867358e-19,2.20911301474212,0.438,0.073,8.05421155919663e-15,7,"Ptn"
"P2ry14",5.76127186845908e-19,0.451755541784056,0.292,0.027,8.19771374163043e-15,7,"P2ry14"
"Pde8a",6.20720576967743e-19,0.427061532699877,0.312,0.032,8.83223308967402e-15,7,"Pde8a"
"Esyt1",7.43425072982072e-19,0.760194460661515,0.5,0.092,1.05781953634619e-14,7,"Esyt1"
"Sgce.1",8.68106117945569e-19,0.755620281050052,0.562,0.118,1.23522819522475e-14,7,"Sgce"
"Tmeff2",9.86225680338442e-19,0.530897343684417,0.312,0.033,1.40330052055357e-14,7,"Tmeff2"
"Cpq.4",1.04642320545974e-18,0.999061254684877,0.771,0.252,1.48895557904866e-14,7,"Cpq"
"Man1a.1",1.24302417718482e-18,1.27209610543614,0.688,0.203,1.76869910171628e-14,7,"Man1a"
"Slit2",1.26948285480675e-18,0.62388080900368,0.375,0.05,1.80634715410452e-14,7,"Slit2"
"Pkd1",1.2747353659842e-18,0.544007533243759,0.479,0.081,1.81382095225891e-14,7,"Pkd1"
"Rab25.2",1.31844441989056e-18,-1.29080281916231,0.021,0.74,1.87601456506227e-14,7,"Rab25"
"Pid1",1.51081377711115e-18,0.517691804885149,0.312,0.033,2.14973692345146e-14,7,"Pid1"
"Gbp7",1.57102879564604e-18,0.563499734919058,0.354,0.044,2.23541687332476e-14,7,"Gbp7"
"Stard10.2",1.64726135037492e-18,-1.37429713467707,0.125,0.8,2.34388817544848e-14,7,"Stard10"
"Col16a1.1",1.83561185346294e-18,0.865316382754976,0.583,0.126,2.61189210629241e-14,7,"Col16a1"
"Plpp1",2.14849373185499e-18,0.886552987068379,0.458,0.081,3.05709173105647e-14,7,"Plpp1"
"Ezr.3",2.56786370058831e-18,-1.30826299563176,0.125,0.831,3.65381325956711e-14,7,"Ezr"
"Timp3.1",2.65024738746027e-18,1.75935028565739,0.667,0.178,3.77103700761722e-14,7,"Timp3"
"Gpx2.6",2.79963364912417e-18,-2.07422092853611,0.042,0.752,3.98359871933877e-14,7,"Gpx2"
"Vkorc1.5",3.02444215931584e-18,1.2704533136823,0.833,0.313,4.30347874849051e-14,7,"Vkorc1"
"Kcnn4.4",3.13297095340749e-18,-1.26217335236694,0,0.715,4.45790436960351e-14,7,"Kcnn4"
"Grina.4",3.4747496254466e-18,0.891026501860872,0.833,0.283,4.94422124204796e-14,7,"Grina"
"Kctd12",3.49998862659927e-18,0.621300114712337,0.396,0.056,4.9801338167881e-14,7,"Kctd12"
"Maged2.1",3.78836498933932e-18,0.780744989819893,0.708,0.196,5.39046454333091e-14,7,"Maged2"
"Pglyrp1.4",3.86796321660416e-18,-2.03620177503453,0.062,0.759,5.50372486090606e-14,7,"Pglyrp1"
"Tmem238.3",4.17303542644445e-18,-1.16607159284273,0.062,0.751,5.9378121082878e-14,7,"Tmem238"
"C1qtnf1",4.85201461348365e-18,0.430381890991489,0.292,0.03,6.90393159352589e-14,7,"C1qtnf1"
"Fst",5.85351375397312e-18,0.486804759501247,0.312,0.035,8.32896472052835e-14,7,"Fst"
"Ccdc102a",6.16163867015504e-18,0.389988531279925,0.292,0.03,8.7673956637636e-14,7,"Ccdc102a"
"Lamp2.2",6.37225067539072e-18,1.14480921132194,0.979,0.748,9.06707548601345e-14,7,"Lamp2"
"Kank2",7.50039428492452e-18,0.431852024635141,0.396,0.057,1.06723110280191e-13,7,"Kank2"
"Cxadr.3",7.51869355530027e-18,-1.38856528791765,0.083,0.789,1.06983490598367e-13,7,"Cxadr"
"Igdcc4",8.14143600591583e-18,0.326823494186116,0.271,0.025,1.15844492928176e-13,7,"Igdcc4"
"Sar1a.1",8.81860820844677e-18,0.850513426793492,0.896,0.331,1.25479976197989e-13,7,"Sar1a"
"Sp140",9.46201826045921e-18,0.305037211451984,0.271,0.025,1.34635057828074e-13,7,"Sp140"
"Cdr2l",9.52445342430178e-18,0.501353068070402,0.354,0.047,1.3552344777439e-13,7,"Cdr2l"
"Thsd7a",1.01536392859048e-17,0.576585493938718,0.312,0.036,1.4447613339914e-13,7,"Thsd7a"
"Onecut2.5",1.15120065109287e-17,-2.26916508580683,0.062,0.749,1.63804340644005e-13,7,"Onecut2"
"Zfp9",1.20124850332954e-17,0.425404214837103,0.25,0.021,1.7092564953876e-13,7,"Zfp9"
"Jak1.3",1.21841555860546e-17,1.1653413755346,0.833,0.329,1.73368349833971e-13,7,"Jak1"
"Klf9",1.26818796930944e-17,1.21061403645695,0.625,0.174,1.80450466153041e-13,7,"Klf9"
"Plekhf1",1.34494932989302e-17,0.379329611839732,0.25,0.021,1.91372840150478e-13,7,"Plekhf1"
"Sash1",1.57172886124486e-17,0.865079700769229,0.604,0.156,2.23641299666531e-13,7,"Sash1"
"Cldn3.5",2.08675884151024e-17,-1.9356236997392,0.083,0.776,2.96924915558492e-13,7,"Cldn3"
"Efemp1.2",2.39766938118811e-17,2.36030918661522,0.792,0.39,3.41164376249257e-13,7,"Efemp1"
"Kremen1",2.47850208503871e-17,0.457465424069402,0.375,0.054,3.52666061680157e-13,7,"Kremen1"
"Ap1s2",2.50439718522284e-17,0.374198443506879,0.333,0.041,3.56350675485358e-13,7,"Ap1s2"
"Kng2",3.10276939327372e-17,0.940812039145674,0.25,0.023,4.41493056968918e-13,7,"Kng2"
"Irak3",4.17126940671879e-17,0.403709143737784,0.312,0.037,5.93529923882017e-13,7,"Irak3"
"Slc36a4",5.30825596882841e-17,0.413681729812562,0.292,0.032,7.55311741804594e-13,7,"Slc36a4"
"Adam15",5.78435640525117e-17,0.628344273507379,0.521,0.109,8.23056072903188e-13,7,"Adam15"
"Palm",6.78069597600927e-17,0.606994104270503,0.458,0.085,9.64825230426359e-13,7,"Palm"
"6030419C18Rik",6.95566903792684e-17,0.389988531279925,0.292,0.032,9.8972214740661e-13,7,"6030419C18Rik"
"Dlg4",7.08206616353648e-17,0.386660513562171,0.292,0.032,1.00770719440961e-12,7,"Dlg4"
"Gsta4.5",7.66300205347115e-17,-2.47910634991947,0.083,0.766,1.09036856218841e-12,7,"Gsta4"
"Tnfrsf1a.5",9.06882824398564e-17,1.16960020911313,0.771,0.315,1.29040357083672e-12,7,"Tnfrsf1a"
"Zbp1",1.01814705497242e-16,0.459581330155191,0.312,0.038,1.44872144452026e-12,7,"Zbp1"
"Fn1.4",1.12035134719065e-16,2.36001004813243,0.771,0.326,1.59414793191758e-12,7,"Fn1"
"Tpd52.4",1.14730617464462e-16,-1.13041194022454,0.042,0.705,1.63250195590182e-12,7,"Tpd52"
"Cacna2d1",1.21743149875375e-16,0.514236660039128,0.438,0.076,1.73228327957672e-12,7,"Cacna2d1"
"Selenow.2",1.70888287043154e-16,1.16109110735444,0.979,0.848,2.43156943633704e-12,7,"Selenow"
"Fth1.6",2.08103721755095e-16,1.20375693573765,1,0.998,2.96110785685324e-12,7,"Fth1"
"Angptl4",2.08435450567164e-16,0.674240304467921,0.396,0.064,2.96582802612017e-12,7,"Angptl4"
"Tbc1d2b",2.17511784981846e-16,0.618240314963279,0.5,0.105,3.09497518850669e-12,7,"Tbc1d2b"
"Ctdsp2.3",2.40233820916034e-16,0.999157508148628,0.812,0.316,3.41828703781425e-12,7,"Ctdsp2"
"Oasl2",2.44299576278512e-16,0.644192149499335,0.396,0.066,3.47613867086695e-12,7,"Oasl2"
"Fzd1",3.05914808308389e-16,0.926648086822018,0.479,0.103,4.35286180742006e-12,7,"Fzd1"
"Mylk",3.8637921021374e-16,0.807198422080134,0.312,0.041,5.49778978213131e-12,7,"Mylk"
"Tm7sf3",4.36181324212652e-16,0.654538214052607,0.562,0.136,6.20642406222182e-12,7,"Tm7sf3"
"Yipf5.3",4.44401115816561e-16,0.807892032727812,0.708,0.241,6.32338347695385e-12,7,"Yipf5"
"Nedd4.2",4.48532512059595e-16,0.960480095755256,0.979,0.881,6.38216911409597e-12,7,"Nedd4"
"Adamts10",5.36485909488547e-16,0.471156022941964,0.292,0.035,7.63365800611253e-12,7,"Adamts10"
"Calr.2",5.36505100071022e-16,1.08695250943907,0.979,0.879,7.63393106891057e-12,7,"Calr"
"Rtl8a",5.53616640060677e-16,0.464461690618457,0.417,0.072,7.87741117142337e-12,7,"Rtl8a"
"Ppp1r18.1",6.61470362899728e-16,0.492657485746685,0.438,0.079,9.41206179370022e-12,7,"Ppp1r18"
"Eid1.4",7.80020263691046e-16,0.817399067454455,0.833,0.309,1.10989083320599e-11,7,"Eid1"
"Vat1.2",8.22200054055601e-16,0.969760856689514,0.729,0.26,1.16990845691571e-11,7,"Vat1"
"Naglu",8.28100869354247e-16,0.557936596436769,0.458,0.092,1.17830472700416e-11,7,"Naglu"
"Myadm.3",8.63221393841527e-16,1.04040308931307,0.875,0.399,1.22827772129711e-11,7,"Myadm"
"Itm2c.2",8.92116747735371e-16,0.978758907893994,0.979,0.61,1.26939292035266e-11,7,"Itm2c"
"Ifi47",9.071307240476e-16,0.495871697339473,0.271,0.03,1.29075630724733e-11,7,"Ifi47"
"Tff2.5",9.4402552474699e-16,-4.46121112522728,0.188,0.757,1.34325391916249e-11,7,"Tff2"
"Adcy3",1.02323426709546e-15,0.374299873889097,0.25,0.025,1.45596003865012e-11,7,"Adcy3"
"Rhoq.1",1.06062408680101e-15,0.648637612612922,0.562,0.136,1.50916201310916e-11,7,"Rhoq"
"Ube2l6",1.07808848036335e-15,0.567325100551409,0.396,0.067,1.53401209870902e-11,7,"Ube2l6"
"Ski.3",1.15873341766684e-15,0.850625872600827,0.708,0.236,1.64876177999815e-11,7,"Ski"
"Cdc42ep2",1.1965298697756e-15,0.58686763753122,0.583,0.144,1.7025423517037e-11,7,"Cdc42ep2"
"Ehf.3",1.53642942349425e-15,-1.14482604220393,0.062,0.712,2.18618542668997e-11,7,"Ehf"
"Shc1",1.55127465878067e-15,0.707452998589542,0.625,0.172,2.20730871197901e-11,7,"Shc1"
"2310022B05Rik",1.55707854070191e-15,0.47354866279898,0.5,0.104,2.21556705556475e-11,7,"2310022B05Rik"
"Cldn2.4",1.64425878648942e-15,-1.44794349218628,0.062,0.721,2.33961582729579e-11,7,"Cldn2"
"Scd1",1.77534837305547e-15,0.401129468714088,0.375,0.06,2.52614320002062e-11,7,"Scd1"
"F11r.5",1.80807312949678e-15,-1.22196832129139,0.104,0.763,2.57270725596097e-11,7,"F11r"
"Cst3.5",2.22049705178778e-15,1.11870539767697,0.979,0.945,3.15954525498883e-11,7,"Cst3"
"Ang.1",2.22066859992921e-15,0.457892067586008,0.458,0.087,3.15978935083927e-11,7,"Ang"
"Nfic.6",2.50328834931666e-15,0.817721637615863,0.812,0.305,3.56192899224267e-11,7,"Nfic"
"Rbfox2",2.63849857217275e-15,0.744189493262308,0.604,0.168,3.7543196183446e-11,7,"Rbfox2"
